Number,Fitness
0.0,92.55292088706298
1.0,185.25081516843736
2.0,189.5239693991558
3.0,197.5588058448647
5.0,188.5665162322385
6.0,197.5588058448647
7.0,189.5239693991558
8.0,187.85778070004196
9.0,195.20710459542886
10.0,195.6462773926934
11.0,197.5588058448647
12.0,195.6462773926934
13.0,195.84749539087608
14.0,197.65990956155545
15.0,195.74738992125688
16.0,197.65990956155545
17.0,197.5588058448647
18.0,197.8915873006595
19.0,197.66573889419885
20.0,197.66035963875643
21.0,197.8915873006595
22.0,197.66573889419885
23.0,197.86063618409216
24.0,197.79175036482462
25.0,197.99984740558344
26.0,197.99984740558344
27.0,197.8915873006595
28.0,198.09920324063935
29.0,197.99984740558344
30.0,198.0840994382503
31.0,198.09920324063935
32.0,198.0840994382503
33.0,198.2380451908385
34.0,198.32484278964412
35.0,198.18305828639194
36.0,198.32484278964412
37.0,198.2380451908385
38.0,198.45559249647587
39.0,198.26950876051436
40.0,198.40888036023165
